ticket_number,ticket_subject,sent_by,ticket_created_on,message_created_on,message,tags
21,,Customer,2022-01-24 14:19:01.51779,2022-01-24 14:19:01.51779,Hi! What is your pricing? Can I talk with someone?,Sales
21,,Agent,2022-01-24 14:19:01.51779,2022-01-24 14:19:27.936193,"Hi! Yes, we'd love to hop on a phone call! When are you free to chat?",Sales
22,,Customer,2022-01-24 17:52:10.798997,2022-01-24 17:52:10.798997,"Hi, how much is Atlas?",Sales
22,,Agent,2022-01-24 17:52:10.798997,2022-01-24 17:53:03.397358,"Looks like it, yeah.",Sales
30,,Customer,2022-01-28 14:53:47.113617,2022-01-28 14:53:47.113617,hey not super urgent but fyi in ramp bank you show up as merriam webster,Feature Request
30,,Customer,2022-01-28 14:53:47.113617,2022-01-28 14:54:23.994008,heres a screenshot,Feature Request
30,,Customer,2022-01-28 14:53:47.113617,2022-01-28 14:54:52.622681,(also note that it wouldn't let me send a screenshot without a message),Feature Request
30,,Agent,2022-01-28 14:53:47.113617,2022-01-29 03:46:42.448936,"Thanks for the heads up, Adam! In theory, it's supposed to show up like this 👇🏻, but I've seen CC/bank statements get this wrong from time to time at my last startup (and now here). Checking with Stripe support now.Also, re: sending message w/ just screenshots: getting that updated now, will circle back when updated!",Feature Request
30,,Agent,2022-01-28 14:53:47.113617,2022-01-29 04:03:37.631771,"Okay, confirmed: looks like this is a bank issue (whatever banks use to grab this info I think takes some time to ""warm up""; I believe I was still seeing these up to 6 months after our first billing was happening previously). From Stripe on this in case you see the same thing: ",Feature Request
30,,Customer,2022-01-28 14:53:47.113617,2022-01-29 04:04:45.093978,"i expect my money's worth in word definitionsOn Fri, Jan 28, 2022 at 11:03 PM Jon from Atlas Support <support@getatlas.io> wrote: Okay, confirmed: looks like this is a bank issue (whatever banks use to grab this info I think takes some time to ""warm up""; I believe I was still seeing these up to 6 months after our first billing was happening previously). From Stripe on this in case you see the same thing:  Screen Shot 2022-01-28 at 10.02.18 PM.png  - Jon O'Bryan @ Atlas Support ",Feature Request
39,,Customer,2022-02-05 17:00:58.289275,2022-02-05 17:00:58.289275,"some minor feedback - i seem to need to sign in ""more often"" than with other services. cant really quantify it but it feels slightly annoying",Feature Request
39,,Agent,2022-02-05 17:00:58.289275,2022-02-05 17:07:16.430065,"Thanks for the feedback Adam, we will increase the session timeout to a bigger time period. Will update you when the change is live. ",Feature Request
42,,Customer,2022-02-08 13:17:02.214116,2022-02-08 13:17:02.214116,Hello! Just came across your site: do you offer remote control as well?,Feature Request
42,,BOT,2022-02-08 13:17:02.214116,2022-02-08 13:17:05.626574,"We are away at the moment, but let us know how we can help and we’ll be in touch with a support agent. We will be back at Feb 08, 06:00 AM PST.",Feature Request
42,,Agent,2022-02-08 13:17:02.214116,2022-02-08 16:30:54.095613,"Hi, apologies for the delay! We don't currently offer remote control but it's on the roadmap. Currently, we offer cobrowsing along with historical session recordings as well as chat and email ticketing.",Feature Request
42,,Agent,2022-02-08 13:17:02.214116,2022-02-08 16:31:18.596031,Happy to chat if you have any other questions! You can also reach me at jon@getatlas.io.,Feature Request
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:02:04.382878,"little feedback here - as i was testing the identification set up, I thought it was only picking up the id because I didnt see the name or email in this box",Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:02:24.241781,I now see the email at the top of the whole section,Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:02:29.090717,no name anywhere though,Bug
43,,Agent,2022-02-11 04:02:04.382878,2022-02-11 04:05:05.451356,"Adam, we are not displaying name, email in that section. but it should be there in the top the side pane. Something like this. ",Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:08:43.709183,"yah i see the email, not seeing name though",Bug
43,,Agent,2022-02-11 04:02:04.382878,2022-02-11 04:09:44.966741,ya just noticed that in data. Can you send me how you are making the identify call? the attribute is called name ,Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:10:01.779698,here is the payload,Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:10:37.188651,calling window.Atlas.identify(payload),Bug
