ticket_number,message,tags
21,"Hi! What is your pricing? Can I talk with someone? Hi! Yes, we'd love to hop on a phone call! When are you free to chat?",Sales
22,"Hi, how much is Atlas? Looks like it, yeah.",Sales
30,"hey not super urgent but fyi in ramp bank you show up as merriam webster heres a screenshot (also note that it wouldn't let me send a screenshot without a message) Thanks for the heads up, Adam! In theory, it's supposed to show up like this 👇🏻, but I've seen CC/bank statements get this wrong from time to time at my last startup (and now here). Checking with Stripe support now.Also, re: sending message w/ just screenshots: getting that updated now, will circle back when updated! Okay, confirmed: looks like this is a bank issue (whatever banks use to grab this info I think takes some time to ""warm up""; I believe I was still seeing these up to 6 months after our first billing was happening previously). From Stripe on this in case you see the same thing:  i expect my money's worth in word definitionsOn Fri, Jan 28, 2022 at 11:03 PM Jon from Atlas Support <support@getatlas.io> wrote: Okay, confirmed: looks like this is a bank issue (whatever banks use to grab this info I think takes some time to ""warm up""; I believe I was still seeing these up to 6 months after our first billing was happening previously). From Stripe on this in case you see the same thing:  Screen Shot 2022-01-28 at 10.02.18 PM.png  - Jon O'Bryan @ Atlas Support ",Feature Request
39,"some minor feedback - i seem to need to sign in ""more often"" than with other services. cant really quantify it but it feels slightly annoying Thanks for the feedback Adam, we will increase the session timeout to a bigger time period. Will update you when the change is live. ",Feature Request
42,"Hello! Just came across your site: do you offer remote control as well? We are away at the moment, but let us know how we can help and we’ll be in touch with a support agent. We will be back at Feb 08, 06:00 AM PST. Hi, apologies for the delay! We don't currently offer remote control but it's on the roadmap. Currently, we offer cobrowsing along with historical session recordings as well as chat and email ticketing. Happy to chat if you have any other questions! You can also reach me at jon@getatlas.io.",Feature Request
43,"little feedback here - as i was testing the identification set up, I thought it was only picking up the id because I didnt see the name or email in this box I now see the email at the top of the whole section no name anywhere though Adam, we are not displaying name, email in that section. but it should be there in the top the side pane. Something like this.  yah i see the email, not seeing name though ya just noticed that in data. Can you send me how you are making the identify call? the attribute is called name  here is the payload calling window.Atlas.identify(payload) its possible the first time I called it, I passed undefined for the name, but I have called it with the name ""Adam Dev"" reliably now :-) found the issue -- only fields are getting updated once user is already created in Atlas (email/name are not). let me fix that tonight. I think if you try for a new user, it should work. ok let me see yah can confirm its working on a new user Thanks for checking and reporting the issue 🙏 Please keep them coming. This one will be fixed with next deploy.",Bug
44,"oh man, i was typing a reply and you cut me off by closing the ticket :-) LOL anyway, i was going to say, maybe i raised this already, but having some protection against impersonation (other than the obscure customer id) would be great Apologies -- we have ""Adam is typing..."" feature coming soon, which should fix that.  haha ya, have support for that planned in this sprint as well.  cool :-) looking great did you guys build the whole session recording stuff yourselves or was it an available open source thing We are using https://github.com/rrweb-io/rrweb but still request surprising amount of work to get all features we want. But still saved months of work with it. ",Feature Request
48,"hey FYI, slack gives me this notification (though it does work) 10-4, thanks for the heads up! 🙏",Bug
50,"Hi! What's the best size for the company logo? Can I upload an SVG? Thanks! For email: I've added hrs134oik6@inbox.getatlas.io as a member to my Google Group. I think that should do it? Hey Beau, For logo anything over between 200x200 to 400x400 would do. Unfortunately, We don't have support for SVG right now. For email, it need to be full email: instant_domains_inc-hrs134oik6@inbox.getatlas.io   Google groups doesn’t like the comma — easy way to get rid of that?  On Feb 17, 2022 at 17:15:08, Rahul from Atlas Support <support@getatlas.io> wrote:  For email, it need to be full email: instant_domains_inc-hrs134oik6@inbox.getatlas.io   - Rahul Asati @ Atlas Support     ya, I just removed the comma and dot from the email for your account. the new email is instant_domains_inc-hrs134oik6@inbox.getatlas.io",Bug
53,"hey, our contract dev is having an issue after merging in the atlas stuff atlas.bundle.js:1 Uncaught (in promise) TypeError: Cannot convert undefined or null to objectI've been looking into it and tried a few solutions but no luck yet. It only happens on page load, the atlas chat element won't load unless the dev server refreshes. not happening on my computer or our deployment environment any chance this is an easy fix? Can you send the snippet you are using? Also, happy to jump on the call with the contract dev to figure this out.  not a blocker, just annoying yah, let me see if he can reach out send him a zoom or something here - aaron@apexapps.com.au will do he's good people and in australia dont steal him ha ha! never. I reached out.  I talked to Aaron and found the issue. If name is passed as null, identify call is crashing (only working with undefined or empty string). Will put in a fix today, Aaron is unblocked for now. Thanks for reporting the issue.  ah yah, thanks",Product Question
67,"Hey, it looks like the atlas bundle is not getting compressed: curl --verbose --compressed https://app.getatlas.io/client-js/atlas.bundle.js* Trying 54.92.223.178:443...* Connected to app.getatlas.io (54.92.223.178) port 443 (#0)* ALPN, offering h2* ALPN, offering http/1.1* TLSv1.3 (OUT), TLS handshake, Client hello (1):* TLSv1.3 (IN), TLS handshake, Server hello (2):* TLSv1.2 (IN), TLS handshake, Certificate (11):* TLSv1.2 (IN), TLS handshake, Server key exchange (12):* TLSv1.2 (IN), TLS handshake, Server finished (14):* TLSv1.2 (OUT), TLS handshake, Client key exchange (16):* TLSv1.2 (OUT), TLS change cipher, Change cipher spec (1):* TLSv1.2 (OUT), TLS handshake, Finished (20):* TLSv1.2 (IN), TLS handshake, Finished (20):* SSL connection using TLSv1.2 / ECDHE-RSA-AES128-GCM-SHA256* ALPN, server accepted to use h2* Server certificate:* subject: CN=*.getatlas.io* start date: Sep 26 00:00:00 2021 GMT* expire date: Oct 25 23:59:59 2022 GMT* subjectAltName: host ""app.getatlas.io"" matched cert's ""*.getatlas.io""* issuer: C=US; O=Amazon; OU=Server CA 1B; CN=Amazon* SSL certificate verify ok.* Using HTTP2, server supports multiplexing* Connection state changed (HTTP/2 confirmed)* Copying HTTP/2 data in stream buffer to connection buffer after upgrade: len=0* Using Stream ID: 1 (easy handle 0x15500a800)> GET /client-js/atlas.bundle.js HTTP/2> Host: app.getatlas.io> user-agent: curl/7.81.1-DEV> accept: */*> accept-encoding: deflate, gzip, br, zstd>* Connection state changed (MAX_CONCURRENT_STREAMS == 128)!< HTTP/2 200< date: Sat, 26 Feb 2022 23:27:52 GMT< content-type: application/javascript< content-length: 384555< set-cookie: AWSALB=FT1Ganh+zDyTuWxDH1XgRsByiGZ/M3WE4DNHkf2pF3gBjd9bNUY1hRbAsYZjhz7qcBspdpmEM9aTlk6kmevhmXw1b95sn1aGtlm6xBKx7L0RKKq/cbdN3ubrZshe; Expires=Sat, 05 Mar 2022 23:27:52 GMT; Path=/< set-cookie: AWSALBCORS=FT1Ganh+zDyTuWxDH1XgRsByiGZ/M3WE4DNHkf2pF3gBjd9bNUY1hRbAsYZjhz7qcBspdpmEM9aTlk6kmevhmXw1b95sn1aGtlm6xBKx7L0RKKq/cbdN3ubrZshe; Expires=Sat, 05 Mar 2022 23:27:52 GMT; Path=/; SameSite=None; Secure< server: nginx/1.14.2< last-modified: Fri, 25 Feb 2022 05:17:06 GMT< etag: ""62186652-5de2b""< cache-control: no-cache< accept-ranges: bytes Thanks for pointing out the issue, Beau. Let me take a look and get back to you.  Beau, Thanks for pointing out the issue! it is now 132KBs from 385KBs. Let us know if you see any other issues. Thanks!  Great, thanks!  On Mar 1, 2022 at 17:45:50, Rahul from Atlas Support <support@getatlas.io> wrote:  Beau, Thanks for pointing out the issue! it is now 132KBs from 385KBs. Let us know if you see any other issues. Thanks!   - Rahul Asati @ Atlas Support    ",Feature Request
70,"hey Chris Any issues?  I can reproduce the issue, will fix soon and will let you know. cool cool",Bug
73,"Hi Izak! Not currently, but it's on our roadmap! Would love to hop on a call this week to chat about how you're doing support at Twigs/Steeple. Great! Do any of these times (CST) work for you? March 8 (Tuesday): 3:00 PM - 4:00 PMMarch 9 (Wednesday): 11:15 AM - 12:00 PM, 3:00 PM - 4:30 PMMarch 10 (Thursday): 1:00 PM - 2:00 PM Great! I'll send an invite now. Looking forward to chatting!",Sales
76,"Hi ! 👋 Have you any integrations with Intercom? Hi! We don't currently have any Intercom integrations. Are there any particular ones you're thinking about? No Are you currently using Intercom? Yes, we are. do* My english is really bad, I'm french... ahah But, what's your price then? :) Ah, apologies I'll try to use some French (not sure if it will be any better, but I'll try! :D).Notre forfait de démarrage est de 200 $/mois pour 5 sièges et 10 000 sessions. Combien payez-vous actuellement pour Intercom ?",Feature Request
77,Price Hi! Our startup package is $200/mo for 5 seats and 10k session recordings. Did you find us through Product Hunt?,Sales
84,"How much Hi! We have tiered pricing that starts at $200/mo for 5 seats and 10,000 session recordings. Please let me know if would live to setup a demo call?",Product Question
90,"what is the corporate headquarters address 4329 Kingfisher Dr, Houston, TX 77035 How can we help?",Sales
92,Hey Folks - anything we can do to untag or otherwise filter when recording is enabled? we're ending up with quite a few low-value very short sessions,Feature Request
93,would be very cool if the atlas input field gets tagged so it doesn't show up as 'unknown' Hey folks - trying to filter users and i'm not seeing users show up in the filter dropdown that I can find in the session recording history. here is a screenshot of an example It would also be *super* helpful to be able to click in to a 'user' page so that I can see all of the sessions for that specific user (an example in those screenshots would be to click on any of the user names on the recording list and that would show me a timeline view of any conversations as well as screen recordings,Feature Request
94,pinning the 'go back' button to the top of the screen and scrolling just the history beneath it would be very helpful when looking through history - right now i have to scroll back up to 'go back' and that's annoying,Feature Request
