ticket_number,ticket_subject,sent_by,ticket_created_on,message_created_on,message,tags
1,"",Customer,2022-01-18 01:29:01.238861,2022-01-18 01:29:01.238861,"Hello, world!",Testing
1,"",Customer,2022-01-18 01:29:01.238861,2022-01-18 01:31:08.914884,Is anybody out there?,Testing
1,"",Agent,2022-01-18 01:29:01.238861,2022-01-18 01:37:46.365888,Ground control to Major Tom,Testing
2,"",Customer,2022-01-18 04:55:15.792937,2022-01-18 04:55:15.792937,whoa... chat inception,Testing
2,"",Agent,2022-01-18 04:55:15.792937,2022-01-18 04:55:35.456387,Talking to myself,Testing
2,"",Customer,2022-01-18 04:55:15.792937,2022-01-18 04:55:53.801306,Hello! Is there an echo in here?,Testing
2,"",Agent,2022-01-18 04:55:15.792937,2022-01-18 04:56:18.880661,"Hi, can you hear me?",Testing
2,"",Agent,2022-01-18 04:55:15.792937,2022-01-18 04:56:56.803696,Hmm,Testing
2,"",Agent,2022-01-18 04:55:15.792937,2022-01-18 04:59:00.404687,Where did this conversation go?,Testing
2,"",Agent,2022-01-18 04:55:15.792937,2022-01-18 04:59:48.292012,Hi!,Testing
2,"",Agent,2022-01-18 04:55:15.792937,2022-01-21 06:29:24.078939,"hey, did you go offline?",Testing
2,"",Customer,2022-01-18 04:55:15.792937,2022-01-21 06:29:58.539803,"I did! Thanks for responding!On Fri, Jan 21, 2022 at 12:29 AM Rahul from Atlas Support <support@getatlas.io> wrote: hey, did you go offline?  - Rahul Asati @ Atlas Support  ",Testing
3,"",Customer,2022-01-18 21:39:17.294818,2022-01-18 21:39:17.294818,"Hey, how much does your product cost?",Testing
3,"",Agent,2022-01-18 21:39:17.294818,2022-01-18 21:39:40.986276,$19/seat/mo,Testing
4,"",Customer,2022-01-19 06:45:15.501913,2022-01-19 06:45:15.501913,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum. ",Testing
4,"",Agent,2022-01-19 06:45:15.501913,2022-01-19 17:49:05.253884,did it work? ,Testing
4,"",Customer,2022-01-19 06:45:15.501913,2022-01-19 17:49:13.763765,yes it did,Testing
4,"",Agent,2022-01-19 06:45:15.501913,2022-01-19 17:49:24.41581,Does it auto scroll ,Testing
4,"",Agent,2022-01-19 06:45:15.501913,2022-01-19 17:50:25.675164,A,Testing
4,"",Agent,2022-01-19 06:45:15.501913,2022-01-19 17:50:28.909308,B,Testing
5,"",Customer,2022-01-19 21:50:18.266152,2022-01-19 21:50:18.266152,Hi! How much does Atlas cost?,Testing
5,"",Agent,2022-01-19 21:50:18.266152,2022-01-19 21:50:35.44423,Hi Mr. Prawn! Pricing is still TBD. Would you like to hop on a call?,Testing
5,"",Customer,2022-01-19 21:50:18.266152,2022-01-19 22:54:14.226625,"Yeah, that'd be great! When are you free?",Testing
6,"",Customer,2022-01-20 20:32:06.709328,2022-01-20 20:32:06.709328,"",Testing
6,"",Customer,2022-01-20 20:32:06.709328,2022-01-20 20:32:14.269561,I need help,Testing
7,"",Customer,2022-01-20 20:32:28.71338,2022-01-20 20:32:28.71338,1,Testing
8,"",Customer,2022-01-20 20:32:43.342534,2022-01-20 20:32:43.342534,12,Testing
8,"",Customer,2022-01-20 20:32:43.342534,2022-01-20 20:32:44.977632,123123,Testing
9,"",Customer,2022-01-20 21:15:42.237934,2022-01-20 21:15:42.237934,Hello from Houston!,Testing
10,"",Customer,2022-01-21 02:34:47.424514,2022-01-21 02:34:47.424514,"Hey, checking if this still works",Testing
11,"",Customer,2022-01-21 06:09:59.40646,2022-01-21 06:09:59.40646,"Hey, is this newsletter supposed to say something else when I add my name?",Testing
11,"",Agent,2022-01-21 06:09:59.40646,2022-01-21 06:10:19.009531,yes it does,Testing
11,"",Customer,2022-01-21 06:09:59.40646,2022-01-21 06:10:47.316487,Whoa... is this showing live sessions now?,Testing
11,"",Agent,2022-01-21 06:09:59.40646,2022-01-21 06:10:56.73001,it does,Testing
11,"",Customer,2022-01-21 06:09:59.40646,2022-01-21 06:11:52.058022,Does the live recording resume if it hits the end and there are no changes then the user starts making changes again?,Testing
11,"",Customer,2022-01-21 06:09:59.40646,2022-01-21 06:12:16.380883,How much of a delay is there?,Testing
11,"",Agent,2022-01-21 06:09:59.40646,2022-01-23 02:47:09.387892,123123123,Testing
12,"",Customer,2022-01-21 06:24:42.979486,2022-01-21 06:24:42.979486,directly to the atlas support email address (atlas_support-a95uw0hfsr@inbox.getatlas.io) ,Testing
12,"",Agent,2022-01-21 06:24:42.979486,2022-01-21 06:25:53.061021,"Hi Jon, hello from the Atlas",Testing
13,"",Customer,2022-01-21 06:29:31.017461,2022-01-21 06:29:31.017461,another email testSent via Superhuman,Testing
14,"",Customer,2022-01-22 17:30:30.071292,2022-01-22 17:30:30.071292,"Hey, can you tell me a little more about how session recordings work?",Testing
14,"",Agent,2022-01-22 17:30:30.071292,2022-01-22 17:30:59.085407,"Hi! Yes, they record all of the dom changes, console information, and network traffic for clients so that you can debug what they're doing more easily.",Testing
15,"",Customer,2022-01-22 17:40:20.248517,2022-01-22 17:40:20.248517,Is it working>,Testing
16,"",Customer,2022-01-23 02:52:53.468949,2022-01-23 02:52:53.468949,hey,Testing
17,"",Customer,2022-01-23 03:53:54.063251,2022-01-23 03:53:54.063251,Hi! Does the screen focus on this ticket correctly when you open it from the inbox?,Testing
17,"",Agent,2022-01-23 03:53:54.063251,2022-01-23 04:00:32.018867,It does!,Testing
18,"",Customer,2022-01-23 04:02:26.315605,2022-01-23 04:02:26.315605,Chatception,Testing
18,"",Agent,2022-01-23 04:02:26.315605,2022-01-23 04:02:35.086766,Can I talk... with myself?,Testing
18,"",Customer,2022-01-23 04:02:26.315605,2022-01-23 04:02:42.936262,Yes. Yes I can.,Testing
19,"",Customer,2022-01-23 21:11:15.515298,2022-01-23 21:11:15.515298,Are you still working today?,Testing
19,"",Agent,2022-01-23 21:11:15.515298,2022-01-23 21:11:29.170677,yes we are,Testing
19,"",Agent,2022-01-23 21:11:15.515298,2022-01-23 21:11:45.34464,How can we help you?,Testing
20,"",Customer,2022-01-24 05:46:17.782118,2022-01-24 05:46:17.782118,Why hello there... what do our emails look like in Atlas? ,Testing
